# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
W,10x5.75x26,0.385,262,147,6.6,11.2,8,49.29,240,224,M16,74,78,1.085,28.04,6014,459.1,514.1,11.05,18.89,593.7,80.77,123.9,3.47,38.37,17.03,93240
W,10x5.75x30,0.448,266,148,7.6,13,8,57.27,240,224,M16,74,78,1.095,24.36,7118,535.2,603,11.14,21.91,703.5,95.06,146.2,3.5,42.99,26.45,112400
W,10x8x33,0.491,247,202,7.4,11,13,62.54,225,199,M27,90,112,1.265,25.76,7069,572.4,633.9,10.63,21.77,1513,149.8,228.5,4.92,44.63,24.53,210400
W,10x8x39,0.58,252,203,8,13.5,13,74.26,225,199,M27,90,113,1.278,21.92,8736,693.4,770.8,10.85,24.04,1884,185.6,282.8,5.04,50.23,41.11,267700
W,10x8x45,0.67,257,204,8.9,15.7,13,85.59,225,199,M27,90,114,1.29,19.2,10360,806.6,902,11,27.01,2224,218,332.2,5.1,55.53,62.61,323400
W,10x10x49,0.73,253,254,8.6,14.2,13,92.9,225,199,M27,102,148,1.482,20.33,11290,892.1,986.1,11.02,25.78,3880,305.5,463.3,6.46,52.27,57.94,552900
W,10x10x54,0.8,256,255,9.4,15.6,13,102.1,225,199,M27,102,150,1.491,18.59,12570,982.4,1091,11.1,28.1,4314,338.3,513.3,6.5,55.83,76.15,622900
W,10x10x60,0.89,260,256,10.7,17.3,13,114.1,225,199,M27,104,150,1.5,16.74,14260,1097,1226,11.18,31.84,4841,378.2,574.5,6.51,60.5,104.4,712400
W,10x10x68,1.01,264,257,11.9,19.6,13,128.9,225,199,M27,106,152,1.51,14.92,16380,1241,1398,11.27,35.73,5549,431.9,656.6,6.56,66.37,150.3,828000
W,10x10x77,1.15,269,259,13.5,22.1,13,146.3,225,199,M27,106,154,1.525,13.28,18940,1408,1599,11.38,40.43,6405,494.6,752.8,6.62,72.89,215.3,975300
W,10x10x88,1.31,275,261,15.4,25.1,13,167.1,225,199,M27,108,156,1.541,11.75,22150,1611,1847,11.52,46.39,7446,570.6,869.7,6.68,80.8,315.9,1161000
W,10x10x100,1.49,282,263,17.3,28.4,13,189.8,225,199,M27,110,158,1.559,10.46,25940,1840,2129,11.69,52.63,8622,655.7,1001,6.74,89.3,456.5,1384000
W,10x10x112,1.67,289,265,19.2,31.8,13,213.3,225,199,M27,112,160,1.577,9.421,30020,2078,2427,11.87,59.05,9879,745.6,1139,6.81,98.01,639.3,1631000
W,12x4x14,0.21,303,101,5.1,5.7,8,26.93,291.1,275.1,0,0,0,0.986,46.64,3708,244.8,287.1,11.75,16.56,98.31,19.47,31.19,1.91,25.85,3.17,21630
W,12x4x16,0.238,305,101,5.6,6.7,8,30.41,291.1,275.1,0,0,0,0.989,41.43,4280,280.7,328.6,11.87,18.3,115.6,22.89,36.7,1.95,28.36,4.5,25590
W,12x4x19,0.283,309,102,6,8.9,8,36.18,291.1,275.1,0,0,0,1,35.22,5431,351.5,406.9,12.27,19.89,158.1,30.99,49.15,2.09,33.14,7.72,35440
W,12x4x22,0.327,313,102,6.6,10.8,8,41.81,291.1,275.1,0,0,0,1.007,30.68,6507,415.8,480.9,12.47,22.22,191.9,37.62,59.63,2.14,37.57,12.36,43610
W,12x6.5x26,0.387,310,165,5.8,9.7,8,49.41,291.1,275.1,M20,80,84,1.255,32.34,8527,550.1,611.8,13.12,19.64,726.8,88.1,134.8,3.83,34.61,12.76,163700
W,12x6.5x30,0.445,313,166,6.6,11.2,8,56.91,291.1,275.1,M20,80,84,1.263,28.27,9934,634.8,708.3,13.21,22.26,854.7,103,157.8,3.88,38.37,19.3,194400
W,12x6.5x35,0.52,317,167,7.6,13.2,8,66.72,291.1,275.1,M20,82,86,1.273,24.31,11850,747.7,838.5,13.32,25.81,1026,122.9,188.6,3.92,43.39,31.1,236400
W,12x8x40,0.6,303,203,7.5,13.1,15,75.88,277.1,247.1,M27,90,113,1.377,23.12,12860,848.9,940.7,13.02,27.6,1829,180.2,275.2,4.91,51.27,39.15,383700
W,12x8x45,0.67,306,204,8.5,14.6,15,85.03,277.1,247.1,M27,90,114,1.385,20.75,14510,948.4,1057,13.06,31.08,2069,202.8,310.3,4.93,55.27,54.03,438500
W,12x8x50,0.74,310,205,9.4,16.3,15,94.84,277.1,247.1,M27,90,115,1.395,18.74,16450,1061,1188,13.17,34.43,2344,228.7,350.2,4.97,59.57,74.05,504700
W,12x10x53,0.79,306,254,8.8,14.6,15,100.5,277.1,247.1,M27,90,164,1.585,20.09,17670,1155,1275,13.26,31.95,3990,314.2,477.8,6.3,55.57,65.49,846500
W,12x10x58,0.86,310,254,9.1,16.3,15,110,277.1,247.1,M27,90,164,1.592,18.44,19850,1280,1417,13.43,33.55,4455,350.8,533.1,6.36,59.27,86.96,960000
W,12x12x65,0.97,308,305,9.9,15.4,15,123.3,277.1,247.1,M27,102,200,1.79,18.5,22240,1444,1591,13.43,35.52,7286,477.8,724.7,7.69,58.27,91.5,1559000
W,12x12x72,1.07,311,306,10.9,17,15,136.2,277.1,247.1,M27,104,200,1.798,16.83,24790,1594,1765,13.49,39.08,8123,530.9,805.8,7.72,62.47,122.1,1754000
W,12x12x79,1.17,314,307,11.9,18.7,15,149.7,277.1,247.1,M27,106,202,1.806,15.38,27510,1753,1949,13.56,42.68,9024,587.9,892.8,7.76,66.87,161.1,1966000
W,12x12x87,1.29,318,308,13.1,20.6,15,165.1,277.1,247.1,M27,106,202,1.816,14.01,30770,1935,2164,13.65,47.07,10040,651.9,990.9,7.8,71.87,214.5,2218000
W,12x12x96,1.43,323,309,14,22.9,15,182.3,277.1,247.1,M27,108,204,1.828,12.78,34760,2153,2419,13.81,50.82,11270,729.4,1109,7.86,77.37,288.3,2535000
W,12x12x106,1.58,327,310,15.5,25.1,15,200.5,277.1,247.1,M27,108,204,1.837,11.68,38630,2363,2672,13.88,56.26,12470,804.8,1225,7.89,83.27,380.3,2840000
W,12x12x120,1.79,333,313,18,28.1,15,227.7,277.1,247.1,M27,112,208,1.856,10.39,44530,2675,3053,13.99,65.24,14380,918.7,1401,7.95,91.77,543.7,3338000
W,12x12x136,2.02,341,315,20.1,31.8,15,258,277.1,247.1,M27,114,210,1.876,9.262,51982,3049,3510,14.19,73.62,16590,1053,1608,8.02,101.3,782.7,3959000
W,12x12x152,2.26,348,317,22.1,35.6,15,288.8,277.1,247.1,M27,116,212,1.894,8.354,59560,3423,3975,14.36,81.65,18930,1194,1825,8.1,110.9,1089,4611000
W,12x12x170,2.53,356,319,24.4,39.6,15,322.1,277.1,247.1,M27,118,214,1.913,7.567,68230,3833,4490,14.55,91.01,21460,1346,2059,8.16,121.2,1495,5362000
W,12x12x190,2.83,365,322,26.9,44.1,15,360.4,277.1,247.1,M27,120,216,1.938,6.852,78680,4311,5098,14.78,101.5,24590,1527,2340,8.26,132.7,2062,6317000
W,12x12x210,3.13,374,325,30,48.3,15,399.1,277.1,247.1,M27,124,220,1.962,6.263,89560,4789,5716,14.98,114.1,27700,1705,2617,8.33,144.2,2742,7329000
W,12x12x230,3.42,382,328,32.6,52.6,15,437.2,277.1,247.1,M27,126,222,1.985,5.784,100500,5262,6334,15.16,125.1,31020,1892,2907,8.42,155.4,3552,8392000
W,14x5x22,0.329,349,127,5.8,8.5,10,41.7,332,312,M12,62,70,1.177,35.96,8258,473.2,541.5,14.07,22.31,291,45.82,71.8,2.64,34.52,8.65,84110
W,14x5x26,0.39,353,128,6.5,10.7,10,49.8,332,312,M12,64,70,1.188,30.38,10230,579.7,661.5,14.33,25.25,375,58.6,91.6,2.74,39.62,15.04,109600
W,14x6.75x30,0.446,352,171,6.9,9.8,10,57.31,332,312,M22,82,84,1.357,30.16,12140,690.1,777,14.57,26.29,817.9,95.66,147.7,3.78,38.18,16.1,239100
W,14x6.75x34,0.51,355,171,7.2,11.6,10,64.42,332,312,M22,84,84,1.362,26.94,14130,796.3,894.5,14.8,28.04,968.1,113.2,174.4,3.87,42.16,23.92,285000
W,14x6.75x38,0.58,358,172,7.9,13.1,10,72.13,332,312,M22,84,84,1.371,24.21,16040,896.2,1009,14.91,30.73,1113,129.4,199.5,3.93,45.82,33.46,330400
W,14x8x43,0.64,347,203,7.7,13.5,15,81.38,320,290,M27,90,113,1.465,22.93,17830,1027,1141,14.8,31.66,1885,185.7,284.3,4.81,52.27,43.21,523400
W,14x8x48,0.72,350,204,8.6,15.1,15,91.04,320,290,M27,90,114,1.473,20.61,20100,1149,1282,14.86,35.26,2140,209.8,321.6,4.85,56.37,59.71,599100
W,14x8x53,0.79,354,205,9.4,16.8,15,100.9,320,290,M27,90,115,1.483,18.72,22650,1280,1433,14.98,38.67,2416,235.7,361.6,4.89,60.57,80.72,685700
W,14x10x61,0.91,353,254,9.5,16.4,15,115.7,320,290,M27,90,164,1.677,18.47,26690,1512,1676,15.19,38.83,4483,353,537.8,6.23,59.87,91.18,1269000
W,14x10x68,1.01,357,255,10.5,18.3,15,128.9,320,290,M27,91,165,1.687,16.67,30150,1689,1880,15.29,42.98,5062,397,605.5,6.27,64.67,125.3,1450000
W,14x10x74,1.1,360,256,11.4,19.9,15,140.3,320,290,M27,91,166,1.695,15.39,33090,1838,2055,15.36,46.67,5570,435.2,664.2,6.3,68.77,160.3,1609000
W,14x10x82,1.22,363,257,13,21.7,15,155,320,290,M27,93,167,1.702,13.99,36530,2013,2266,15.35,52.81,6147,478.4,732,6.3,73.97,211.8,1788000
W,14x14.5x90,1.34,356,369,11.2,18,15,170.6,320,290,M27,100,264,2.14,15.98,41510,2332,2562,15.6,45.19,15080,817.3,1237,9.4,64.77,168.8,4305000
W,14x14.5x99,1.47,360,370,12.3,19.8,15,187.9,320,290,M27,100,264,2.15,14.58,46290,2572,2838,15.7,49.72,16720,903.9,1369,9.43,69.47,223.7,4836000
W,14x14.5x109,1.62,364,371,13.3,21.8,15,206.3,320,290,M27,102,266,2.16,13.34,51540,2832,3139,15.81,53.98,18560,1001,1516,9.49,74.47,295.5,5432000
W,14x14.5x120,1.79,368,373,15,23.9,15,228.3,320,290,M27,104,268,2.172,12.12,57440,3122,3482,15.86,60.72,20680,1109,1683,9.52,80.37,393.8,6119000
W,14x14.5x132,1.96,372,374,16.4,26.2,15,250.3,320,290,M27,104,268,2.181,11.1,63630,3421,3837,15.94,66.5,22860,1222,1856,9.56,86.37,517.1,6829000
W,14x16x145,2.16,375,394,17.3,27.7,15,275.5,320,290,M27,106,288,2.266,10.48,71140,3794,4262,16.07,70.32,28250,1434,2176,10.13,90.27,637.3,8515000
W,14x16x159,2.37,380,395,18.9,30.2,15,300.9,320,290,M27,108,290,2.276,9.637,78780,4146,4686,16.18,77.1,31040,1572,2387,10.16,96.87,825.5,9489000
W,14x16x176,2.62,387,398,21.1,33.3,15,334.6,320,290,M27,110,292,2.298,8.749,89410,4620,5260,16.35,86.55,35020,1760,2676,10.23,105.3,1116,10940000
W,14x16x193,2.87,393,399,22.6,36.6,15,366.3,320,290,M27,112,294,2.311,8.038,99710,5074,5813,16.5,93.46,38780,1944,2957,10.29,113.4,1464,12300000
W,14x16x211,3.14,399,401,24.9,39.6,15,399.2,320,290,M27,114,296,2.326,7.425,110200,5525,6374,16.62,103.3,42600,2125,3236,10.33,121.7,1870,13740000
W,14x16x233,3.47,407,404,27.2,43.7,15,442,320,290,M27,116,298,2.35,6.773,124900,6140,7139,16.81,113.9,48090,2380,3629,10.43,132.2,2510,15850000
W,14x16x257,3.82,416,406,29.8,48,15,487.1,320,290,M27,118,300,2.371,6.2,141300,6794,7965,17.03,126,53620,2641,4031,10.49,143.4,3326,18130000
W,14x16x283,4.21,425,409,32.8,52.6,15,537.1,320,290,M27,122,304,2.395,5.68,159600,7510,8880,17.24,139.9,60080,2938,4489,10.58,155.6,4398,20800000
W,14x16x311,4.63,435,412,35.8,57.4,15,589.5,320,290,M27,124,306,2.421,5.231,180200,8283,9878,17.48,154.3,67040,3254,4978,10.66,168.2,5735,23850000
W,14x16x342,5.09,446,416,39.1,62.7,15,649,320,290,M27,128,310,2.452,4.813,204500,9172,11030,17.75,170.6,75400,3625,5552,10.78,182.1,7513,27630000
W,14x16x370,5.51,455,418,42,67.6,15,701.4,320,290,M27,132,312,2.472,4.49,226100,9939,12050,17.95,184.9,82490,3947,6051,10.85,194.8,9410,30870000
W,14x16x398,5.92,465,421,45,72.3,15,754.9,320,290,M27,134,316,2.498,4.216,250200,10760,13140,18.2,200.3,90170,4284,6574,10.93,207.2,11560,34670000
W,14x16x426,6.34,474,424,47.6,77.1,15,808,320,290,M27,140,312,2.523,3.978,274200,11570,14220,18.42,214,98250,4634,7117,11.03,219.4,14020,38570000
W,14x16x455,6.77,483,428,51.2,81.5,15,863.4,320,290,M27,144,316,2.55,3.762,299500,12400,15350,18.62,231.9,106900,4994,7680,11.13,231.8,16790,42920000
W,14x16x500,7.44,498,432,55.6,88.9,15,948.1,320,290,M27,148,320,2.587,3.476,342100,13740,17170,19,256.1,119900,5552,8549,11.25,251,21840,49980000
W,14x16x550,8.18,514,437,60.5,97,15,1043,320,290,M27,154,326,2.629,3.21,392200,15260,19260,19.39,283.3,135500,6203,9561,11.4,272.1,28510,58650000
W,14x16x605,9,531,442,65.9,106,15,1149,320,290,M27,158,330,2.672,2.962,450200,16960,21620,19.79,313.8,153300,6938,10710,11.55,295.5,37350,68890000
W,14x16x665,9.9,550,448,71.9,115,15,1262,320,290,M27,164,336,2.722,2.747,518900,18870,24280,20.27,349.2,173400,7739,11960,11.72,319.5,48210,81530000
W,14x16x730,10.86,569,454,78,125,15,1386,320,290,M27,170,342,2.772,2.548,595700,20940,27210,20.73,385.8,196200,8645,13380,11.9,345.6,62290,96080000
W,14x16x808,12.02,580,471,95,130,15,1530,320,290,M27,188,360,2.828,2.353,663600,22880,30020,20.82,469.6,228700,9712,15150,12.22,373,79230,114600000
W,14x16x873,12.99,600,476,100,140,15,1650,320,290,M27,192,364,2.878,2.215,754600,25150,33250,21.35,505.2,254400,10690,16670,12.4,398,98140,133100000
W,16x5.5x26,0.388,399,140,6.4,8.8,10,49.91,381,361,M12,68,82,1.328,33.9,12620,632.6,727.8,15.93,27.4,403.5,57.65,90.55,2.85,35.67,11.17,153200
W,16x5.5x31,0.461,403,140,7,11.2,10,58.86,381,361,M12,68,82,1.335,28.89,15550,771.9,883.6,16.26,30.49,513.6,73.37,114.9,2.95,41.11,19.25,196600
W,16x7x36,0.53,403,177,7.5,10.9,10,68.03,381,361,M22,86,90,1.482,27.75,18600,922.9,1045,16.54,32.41,1009,114,176.6,3.85,41.01,22.75,387200
W,16x7x40,0.6,407,178,7.7,12.8,10,75.79,381,361,M22,86,90,1.493,25.1,21570,1060,1194,16.87,33.77,1205,135.4,209,3.99,45.02,32.81,467400
W,16x7x45,0.67,410,179,8.8,14.4,10,85.96,381,361,M22,86,92,1.501,22.25,24530,1196,1354,16.91,38.39,1379,154.1,238.6,4.01,49.28,46.9,538500
W,16x7x50,0.75,413,180,9.7,16,10,95.42,381,361,M22,88,92,1.509,20.15,27460,1330,1510,16.98,42.37,1559,173.2,268.7,4.05,53.37,63.79,612800
W,16x7x57,0.85,417,181,10.9,18.2,10,108.2,381,361,M22,90,94,1.519,17.88,31530,1512,1725,17.06,48.05,1803,199.3,310.1,4.08,59.04,93.24,715200
W,16x10.25x67,1,415,260,10,16.9,10,126.9,381,361,M27,90,170,1.833,18.4,39760,1916,2129,17.7,44.05,4954,381.1,581.4,6.25,55.52,99.7,1961000
W,16x10.25x77,1.14,420,261,11.6,19.3,10,145.8,381,361,M27,92,171,1.844,16.1,46140,2197,2456,17.79,51.2,5725,438.7,670.9,6.27,61.92,149.4,2296000
W,16x10.25x89,1.32,425,263,13.3,22.2,10,168.3,381,361,M27,93,173,1.858,14.07,53830,2533,2850,17.89,58.87,6739,512.5,785.4,6.33,69.42,227.1,2730000
W,16x10.25x100,1.49,431,265,14.9,25,10,190.1,381,361,M27,95,175,1.875,12.56,61840,2870,3247,18.04,66.35,7765,586.1,899.8,6.39,76.62,324.1,3195000
W,18x6x35,0.52,450,152,7.6,10.8,10,66.25,428,408,M16,76,82,1.476,28.37,21200,942,1088,17.89,36.4,634,83.43,131.5,3.09,40.92,21.24,304800
W,18x6x40,0.6,455,153,8,13.3,10,75.83,428,408,M16,76,84,1.489,25.01,25480,1120,1284,18.33,38.85,796.1,104.1,163.1,3.24,46.32,33.58,387200
W,18x6x46,0.68,459,154,9.1,15.4,10,87.26,428,408,M16,78,84,1.499,21.88,29680,1293,1487,18.44,44.31,940.5,122.1,192.1,3.28,51.62,51.07,461200
W,18x7.5x50,0.74,457,190,9,14.5,10,94.48,428,408,M24,92,96,1.639,22.1,33260,1456,1650,18.75,43.67,1661,174.8,271,4.19,49.74,52.03,811400
W,18x7.5x55,0.82,460,191,9.9,16,10,104.4,428,408,M24,92,98,1.647,20.11,37000,1608,1829,18.83,48.06,1862,195,303,4.22,53.63,69.55,915700
W,18x7.5x60,0.89,463,192,10.5,17.7,10,113.7,428,408,M24,94,98,1.656,18.55,40960,1769,2013,18.96,51.33,2093,218,338.8,4.29,57.66,91.36,1035000
W,18x7.5x65,0.97,466,193,11.4,19,10,123,428,408,M24,94,100,1.664,17.24,44680,1917,2189,19.02,55.76,2282,237.8,370.4,4.31,61.35,113.9,1137000
W,18x7.5x71,1.06,469,194,12.6,20.6,10,134.7,428,408,M24,96,100,1.672,15.81,48790,2081,2385,19.04,61.34,2515,259.2,405.3,4.32,65.49,146.6,1260000
W,18x11x76,1.13,463,280,10.8,17.3,10,144,428,408,M27,90,174,2.007,17.76,55600,2402,2673,19.65,52.45,6335,452.5,691.3,6.63,57.12,118.8,3143000
W,18x11x86,1.28,467,282,12.2,19.6,10,163.6,428,408,M27,90,176,2.02,15.73,63690,2728,3049,19.73,59.32,7333,520.1,795.9,6.7,63.11,172.6,3666000
W,18x11x97,1.44,472,283,13.6,22.1,10,184.1,428,408,M27,92,178,2.032,14.06,72600,3076,3454,19.86,66.42,8358,590.7,905.5,6.74,69.51,245.5,4224000
W,18x11x106,1.58,476,284,15,23.9,10,200.8,428,408,M27,94,178,2.041,12.94,79620,3346,3774,19.91,73.41,9137,643.5,988.7,6.75,74.51,314.1,4662000
W,18x11x119,1.77,482,286,16.6,26.9,10,225.8,428,408,M27,94,180,2.058,11.61,91040,3777,4282,20.07,81.97,10510,734.7,1131,6.82,82.16,445.2,5431000
W,18x11x130,1.93,489,283,17,30.5,10,246.2,428,408,M27,97,193,2.059,10.65,102400,4186,4754,20.39,84.9,11540,815.5,1253,6.85,89.72,607.3,6055000
W,18x11x143,2.13,495,285,18.5,33.5,10,271,428,408,M27,99,195,2.076,9.758,114300,4619,5272,20.54,92.94,12950,908.7,1398,6.91,97.22,803.3,6882000
W,18x11x158,2.35,501,287,20.6,36.6,10,299.1,428,408,M27,101,197,2.092,8.909,127300,5083,5839,20.63,103.8,14450,1007,1554,6.95,105.5,1059,7775000
W,18x11x175,2.6,509,289,22.6,40.4,10,331.1,428,408,M27,103,199,2.112,8.123,143700,5646,6525,20.83,114.8,16300,1128,1743,7.01,115.1,1423,8922000
W,21x6.5x44,0.66,525,165,8.9,11.4,13,83.77,501.9,475.9,M22,89,93,1.67,25.39,35100,1337,1563,20.47,50.13,857.3,103.9,166.2,3.2,46.93,33.29,562900
W,21x6.5x50,0.74,529,166,9.7,13.6,13,95.28,501.9,475.9,M22,90,94,1.68,22.47,41100,1554,1810,20.77,54.98,1042,125.5,200.3,3.31,52.13,49.2,688600
W,21x6.5x57,0.85,535,166,10.3,16.5,13,107.9,501.9,475.9,M22,90,94,1.691,19.96,48580,1816,2105,21.22,59.15,1264,152.2,241.8,3.42,58.53,74.55,845500
W,21x8.25x48,0.72,524,207,9,10.9,13,91.8,501.9,475.9,M27,94,104,1.836,25.48,40100,1530,1761,20.9,50.46,1615,156.1,244.8,4.2,46.03,35.41,1061000
W,21x8.25x55,0.82,528,209,9.5,13.3,13,104.7,501.9,475.9,M27,94,104,1.851,22.52,47700,1807,2064,21.35,53.81,2028,194.1,302.9,4.4,51.33,52.96,1340000
W,21x8.25x62,0.92,533,209,10.2,15.6,13,117.8,501.9,475.9,M27,94,104,1.859,20.1,55240,2073,2362,21.67,58.07,2379,227.7,354.8,4.5,56.59,76.96,1589000
W,21x8.25x68,1.01,537,210,10.9,17.4,13,129.3,501.9,475.9,M27,94,104,1.87,18.43,61760,2300,2623,21.85,62.72,2692,256.4,399.9,4.56,60.95,102.9,1813000
W,21x8.25x73,1.09,539,211,11.6,18.8,13,138.9,501.9,475.9,M27,96,106,1.876,17.2,66730,2476,2826,21.93,66.47,2951,279.7,436.5,4.61,64.39,127.4,1991000
W,21x8.25x83,1.23,544,212,13.1,21.2,13,157,501.9,475.9,M27,96,106,1.887,15.31,76100,2798,3208,22.02,75.34,3377,318.6,499.2,4.64,70.71,182.3,2300000
W,21x8.25x93,1.38,549,214,14.7,23.6,13,176.2,501.9,475.9,M27,98,108,1.902,13.75,86160,3139,3617,22.1,84.98,3870,361.7,569.1,4.68,77.16,254,2660000
W,24x7x55,0.82,599,178,10,12.8,13,104.4,573,547,M24,90,100,1.868,22.8,56030,1871,2199,23.17,63.4,1209,135.8,218.3,3.4,50.83,50.58,1034000
W,24x7x62,0.92,603,179,10.9,15,13,117.6,573,547,M24,91,101,1.878,20.34,64680,2145,2515,23.45,69.44,1441,161,258.5,3.5,56.13,72.81,1239000
W,24x9x68,1.01,603,228,10.5,14.9,13,129.6,573,547,M27,94,122,2.075,20.4,76470,2536,2905,24.27,67.31,2950,258.8,404.4,4.77,55.57,79.88,2545000
W,24x9x76,1.13,608,228,11.2,17.3,13,144.6,573,547,M27,94,122,2.083,18.36,87570,2881,3290,24.62,71.99,3425,300.5,468.8,4.87,61.01,113.3,2981000
W,24x9x84,1.25,612,229,11.9,19.6,13,159.4,573,547,M27,96,124,2.094,16.74,98650,3224,3679,24.86,77.28,3932,343.4,535.6,4.96,66.37,156,3442000
W,24x9x94,1.4,617,230,13.1,22.2,13,178.6,573,547,M27,96,124,2.105,15.02,112000,3630,4150,25.05,85.02,4514,392.5,613.1,5.03,72.71,220,3982000
W,24x9x103,1.53,623,229,14,24.9,13,195.7,573,547,M27,94,139,2.112,13.74,125200,4019,4602,25.29,91.66,4998,436.5,682.4,5.05,79.03,297.5,4457000
W,24x12.75x104,1.55,611,324,12.7,19,13,197.3,573,547,M27,96,218,2.47,15.95,129000,4222,4728,25.57,81.57,10780,666,1022,7.39,65.93,197.7,9437000
W,24x12.75x117,1.74,616,325,14,21.6,13,222,573,547,M27,98,220,2.482,14.24,147200,4778,5362,25.74,90.28,12370,761,1170,7.46,72.43,283.2,10920000
W,24x12.75x131,1.95,622,327,15.4,24.4,13,249.3,573,547,M27,98,222,2.499,12.77,167900,5398,6074,25.95,99.83,14240,871,1340,7.56,79.43,400.9,12700000
W,24x12.75x146,2.17,628,328,16.5,27.7,13,277.6,573,547,M27,100,222,2.513,11.53,190800,6076,6848,26.21,107.7,16310,995,1531,7.67,87.13,564.6,14680000
W,24x12.75x162,2.41,635,329,17.9,31,13,308,573,547,M27,100,224,2.528,10.46,215400,6785,7671,26.45,117.6,18430,1120,1725,7.74,95.13,776.5,16780000
W,24x12.75x176,2.62,641,327,19,34,13,332.7,573,547,M27,102,222,2.53,9.687,236000,7363,8349,26.63,125.6,19850,1214,1871,7.72,102.2,998.1,18250000
W,24x12.75x192,2.85,647,329,20.6,37.1,13,363.6,573,547,M27,104,224,2.546,8.923,260700,8059,9175,26.78,136.7,22060,1341,2071,7.79,110,1295,20480000
W,24x12.75x207,3.07,653,330,22.1,39.9,13,391.5,573,547,M27,104,224,2.559,8.329,283700,8688,9929,26.92,147.3,23950,1452,2245,7.82,117.1,1608,22460000
W,24x12.75x229,3.41,661,333,24.4,43.9,13,433.7,573,547,M27,108,228,2.583,7.587,318300,9630,11070,27.09,163.4,27090,1627,2522,7.9,127.4,2153,25720000
W,24x12.75x250,3.72,669,335,26.4,48,13,474.3,573,547,M27,110,230,2.603,6.991,353200,10560,12190,27.27,177.9,30170,1801,2796,7.98,137.6,2802,29000000
W,24x12.75x279,4.15,679,338,29.5,53.1,13,529.4,573,547,M27,114,232,2.629,6.326,399800,11780,13690,27.48,199.9,34300,2030,3160,8.05,150.9,3824,33470000
W,24x12.75x306,4.55,689,340,32,57.9,13,578.6,573,547,M27,116,234,2.652,5.838,444500,12903,15093,27.72,218.5,38090,2241,3496,8.11,163,4948,37770000
W,24x12.75x335,4.98,699,343,35.1,63,13,634.8,573,547,M27,120,238,2.677,5.373,494700,14150,16670,27.92,241.1,42580,2483,3885,8.19,176.3,6420,42850000
W,24x12.75x370,5.51,711,347,38.6,69.1,13,702.1,573,547,M27,122,242,2.71,4.918,557500,15682,18599,28.18,267.2,48400,2790,4377,8.3,192,8525,49570000
W,27x10x84,1.25,678,253,11.7,16.3,15,159.9,645.9,615.9,M27,100,148,2.319,18.47,118500,3495,4009,27.22,84.24,4410,348.6,545.5,5.25,61.87,119.4,4816000
W,27x10x94,1.4,684,254,12.4,18.9,15,178.1,645.9,615.9,M27,100,148,2.333,16.69,136100,3979,4549,27.64,90.07,5174,407.4,636.4,5.39,67.77,168.4,5709000
W,27x10x102,1.52,688,254,13.1,21.1,15,193.7,645.9,615.9,M27,102,148,2.34,15.39,150600,4378,5002,27.88,95.63,5777,454.9,710.3,5.46,72.87,221.4,6408000
W,27x10x114,1.7,693,256,14.5,23.6,15,216.4,645.9,615.9,M27,102,150,2.355,13.86,169900,4904,5618,28.02,106.1,6618,517,809.3,5.53,79.27,306.7,7393000
W,27x10x129,1.92,702,254,15.5,27.9,15,243.8,645.9,615.9,M27,104,148,2.363,12.35,197900,5639,6457,28.49,114.8,7643,601.8,941,5.6,88.87,463.2,8657000
W,27x14x146,2.17,695,355,15.4,24.8,15,277.4,645.9,615.9,M27,102,250,2.753,12.64,234300,6742,7566,29.06,112.6,18510,1043,1603,8.17,82.57,458.6,20770000
W,27x14x161,2.4,701,356,16.8,27.4,15,305.6,645.9,615.9,M27,104,250,2.767,11.53,261200,7451,8386,29.23,123.3,20630,1159,1784,8.22,89.17,612.3,23370000
W,27x14x178,2.65,706,358,18.4,30.2,15,337,645.9,615.9,M27,106,252,2.781,10.52,290300,8223,9285,29.35,135.3,23130,1292,1992,8.29,96.37,816.8,26370000
W,27x14x194,2.89,714,356,19,34,15,366.8,645.9,615.9,M27,106,250,2.788,9.685,324700,9096,10270,29.76,141.3,25610,1439,2215,8.36,104.6,1099,29560000
W,27x14x217,3.23,722,359,21.1,38.1,15,411.8,645.9,615.9,M27,110,254,2.812,8.7,369500,10240,11620,29.96,157.7,29430,1640,2530,8.45,114.9,1543,34350000
W,27x14x235,3.5,728,360,23.1,40.9,15,445.7,645.9,615.9,M27,112,254,2.824,8.072,401900,11040,12590,30.03,172.9,31870,1771,2739,8.46,122.5,1927,37540000
W,27x14x258,3.84,736,362,24.9,45,15,488.6,645.9,615.9,M27,112,256,2.844,7.416,447400,12160,13920,30.26,187.5,35670,1971,3052,8.54,132.5,2541,42470000
